# panacus histgrowth -t16 -l 1,2,1,1,1 -q 0,0,1,0.5,0.1 -S -s ../data/gfa/paths.haplotypes.txt -c all -a /home/yxxiang/data/gfaGlimpse/benchmark/data/05_hs_pggb.gfa
panacus	hist	hist	hist	growth	growth	growth	growth	growth	growth	growth	growth	growth	growth	growth	growth	growth	growth	growth
count	bp	node	edge	bp	bp	bp	bp	bp	node	node	node	node	node	edge	edge	edge	edge	edge
coverage				1	2	1	1	1	1	2	1	1	1	1	2	1	1	1
quorum				0	0	1	0.5	0.1	0	0	1	0.5	0.1	0	0	1	0.5	0.1
0	0	0	8840	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	201146235	385101	948661	239953019	219838395	239953019	239953019	239953019	1517782	1479272	1517782	1517782	1517782	1521957	1427091	1521957	1521957	1521957
2	2506078	188996	375836	264690271	224461024	215215766	264690271	264690271	1816972	1739952	1218592	1816972	1816972	2092175	1902443	951739	2092175	2092175
3	6560951	156207	277833	287024453	226680583	212812696	220021907	287024453	1972035	1856504	1074465	1506847	1972035	2403743	2119145	693089	1469039	2403743
4	1921243	125640	231278	308586989	228128495	211181272	222336848	308586989	2078599	1924558	978836	1652342	2078599	2626286	2246821	523466	1736117	2626286
5	1281345	117225	215393	329647904	229074787	209819876	219327130	329647904	2159991	1967441	906534	1501311	2159991	2802366	2328035	396406	1457347	2802366
6	878178	116885	213142	350355018	229667277	208580690	220805304	350355018	2225969	1994909	847801	1598891	2225969	2949791	2380595	294104	1635416	2949791
7	1117474	125486	227772	370809886	230007521	207417453	218774167	370809886	2281583	2012012	797927	1497917	2281583	3077760	2413697	207950	1451448	3077760
8	1367206	161426	294970	391090565	230173577	206307404	219596666	391090565	2329794	2021714	754289	1570900	2329794	3191645	2432717	133163	1585349	3191645
9	10399713	354184	597796	411260879	230229268	205237051	218600323	411260879	2372504	2025914	715283	1496458	2372504	3294863	2441069	66828	1448425	3294863
10	204197080	679865	7049	431375503	230229268	204197079	219240995	431375503	2411015	2025914	679864	1555071	2411015	3389730	2441069	7048	1556122	3389730
